S01,-0.483,-28.307,103.974
S02,-0.318,-96.600,69.353
S03,0.089,-121.006,-5.823
S04,-0.312,46.899,78.222
S05,0.069,87.717,12.215
S06,19.689,-8.369,98.088
S07,37.198,10.092,84.755
S08,50.188,26.867,67.163
S09,57.431,41.450,46.201
S10,58.915,53.476,24.639
S11,14.889,62.059,63.519
S12,24.281,73.303,43.348
S13,35.272,78.970,16.408
S14,42.331,78.297,-15.976
S15,-14.723,88.789,-11.220
S16,14.920,88.629,-11.014
S17,-15.452,61.895,63.473
S18,-24.822,73.133,43.250
S19,-20.873,-8.860,97.846
S20,-38.088,9.315,84.553
S21,-50.962,25.976,66.860
S22,-58.244,40.554,45.750
S23,-59.548,52.776,24.189
S24,-56.347,62.867,5.138
S25,55.843,63.342,5.687
S26,-16.860,-83.376,82.643
S27,-36.905,-66.856,87.375
S28,-55.921,-48.229,81.020
S29,-72.036,-29.818,65.923
S30,-79.957,-12.630,44.864
S31,-81.276,2.703,22.051
S32,-78.908,16.392,0.428
S33,-75.968,28.588,-19.004
S34,16.406,-83.162,82.952
S35,36.235,-66.333,87.974
S36,55.491,-47.322,81.614
S37,71.538,-28.329,66.603
S38,79.342,-10.717,45.557
S39,80.908,4.406,22.797
S40,78.574,17.810,1.122
S41,75.554,29.800,-18.205
S42,-85.155,-17.430,-36.769
S43,-15.313,-119.163,10.620
S44,-27.233,-113.324,25.590
S45,-49.317,-94.481,47.424
S46,-65.910,-80.024,41.609
S47,-77.543,-63.508,27.478
S48,-83.761,-46.885,7.545
S49,-87.623,-31.634,-15.332
S50,15.582,-119.121,10.704
S51,27.382,-113.157,25.983
S52,49.453,-93.982,48.206
S53,66.270,-79.136,42.386
S54,77.912,-62.369,28.299
S55,84.109,-45.512,8.191
S56,86.666,-29.825,-14.383
S57,84.624,-15.395,-36.095
S58,83.408,-4.622,-57.845
S59,-83.632,-6.414,-58.449
S60,-71.147,41.230,-39.636
S61,70.573,42.152,-38.921
S62,-42.615,78.199,-16.543
S63,-38.829,-104.992,36.966
S64,38.983,-104.702,37.553
S65,-55.949,-98.123,-21.416
S66,-66.140,-88.898,-4.318
S67,56.648,-97.529,-21.140
S68,66.702,-88.163,-3.837
S69,-73.118,-73.780,-28.015
S70,73.746,-72.707,-27.625
D01,-0.421,10.765,95.390
D02,-0.455,-67.110,96.112
D03,-0.127,-114.608,33.665
D04,-0.144,74.974,49.875
D05,19.692,-48.018,100.301
D06,39.600,-28.111,93.392
D07,55.612,-9.079,78.585
D08,66.383,7.825,58.862
D09,71.703,35.942,15.530
D10,71.699,22.827,37.174
D11,68.038,47.107,-3.683
D12,17.991,29.140,85.231
D13,32.190,45.412,68.838
D14,41.093,58.836,48.706
D15,24.721,84.805,3.536
D16,19.332,82.196,27.530
D17,-19.609,82.143,27.460
D18,-24.787,84.788,3.329
D19,-18.811,28.813,85.105
D20,-33.046,44.916,68.640
D21,-41.762,58.369,48.491
D22,-44.480,68.821,27.313
D23,-45.336,73.867,-0.879
D24,-20.520,-48.344,100.031
D25,-40.486,-28.942,92.993
D26,-56.639,-10.426,78.110
D27,-67.280,6.436,58.396
D28,-72.490,21.549,36.688
D29,-72.304,34.818,14.923
D30,-68.536,46.263,-4.366
D31,-63.397,56.392,-19.039
D32,43.946,69.173,27.659
D33,62.971,56.963,-18.287
D34,-10.744,-106.627,50.988
D35,-27.284,-96.129,63.615
D36,-46.705,-82.308,68.435
D37,-64.664,-65.552,62.557
D38,-78.435,-47.700,47.624
D39,-84.960,-30.752,26.592
D40,-85.404,-15.052,4.239
D41,-82.269,-1.198,-17.312
D42,10.418,-106.558,51.226
D43,26.938,-95.869,64.167
D44,46.619,-81.692,69.104
D45,64.597,-64.616,63.414
D46,78.498,-46.421,48.423
D47,84.942,-28.987,27.557
D48,85.113,-13.005,4.981
D49,81.952,0.528,-16.537
D50,80.590,14.229,-38.278
D51,-80.831,12.648,-38.912
D52,-72.905,-77.146,9.193
D53,-79.389,-61.215,-10.304
D54,73.350,-76.140,9.794
D55,79.798,-60.035,-9.687
D56,78.287,26.789,-59.935
D57,-78.604,25.657,-60.610
D58,62.594,54.863,-38.437
D59,-62.826,54.038,-39.023
D60,-14.434,-118.875,-29.563
D61,-31.868,-115.353,-13.938
D62,-43.944,-109.475,2.983
D63,-53.765,-101.609,9.556
D64,-61.606,-91.862,22.917
D65,14.908,-118.798,-29.485
D66,32.397,-115.132,-13.784
D67,44.465,-109.146,3.280
D68,54.240,-101.161,10.012
D69,62.084,-91.201,23.569
