1,1,1,-1.410,-8.323,101.328,40.0,-4.671,-14.713,77.953
2,1,2,-0.290,-48.333,102.833,39.6,-1.552,-39.677,76.325
3,1,5,9.743,-38.356,103.370,28.4,11.213,-38.636,82.345
4,1,6,19.671,-28.486,101.358,41.5,14.858,-30.921,80.151
5,1,24,-10.947,-37.840,103.221,28.6,-12.262,-38.569,82.365
6,1,25,-21.296,-28.597,100.886,41.5,-15.320,-30.783,80.092
7,2,2,-0.326,-83.307,84.537,39.8,-1.254,-67.821,61.218
8,2,3,-0.902,-106.856,51.854,40.0,-4.456,-89.396,39.305
9,2,34,-6.488,-101.914,60.295,23.4,-11.833,-86.085,46.386
10,2,35,-13.981,-97.445,66.227,27.6,-14.084,-80.397,55.735
11,2,42,5.362,-101.972,60.336,23.3,11.524,-85.895,46.518
12,2,43,13.840,-96.971,67.014,27.8,14.413,-79.923,57.000
13,3,3,0.235,-119.377,15.006,40.0,1.528,-100.044,9.648
14,3,60,-7.796,-120.846,-18.281,27.9,-12.929,-105.241,-10.290
15,3,61,-16.247,-119.978,-10.561,33.5,-16.878,-106.634,-7.090
16,3,65,7.167,-121.043,-16.923,28.0,12.525,-105.253,-9.951
17,3,66,16.811,-119.964,-9.959,33.8,16.125,-106.726,-6.823
18,4,1,-1.336,29.319,87.715,40.0,-2.579,20.282,66.815
19,4,4,-0.290,62.446,65.502,39.9,-1.179,47.357,49.691
20,4,12,8.462,38.970,82.486,26.4,8.063,28.668,64.138
21,4,13,15.725,48.120,75.048,33.9,11.267,36.866,60.005
22,4,19,-10.182,38.512,82.448,26.8,-8.070,28.848,64.102
23,4,20,-16.742,47.487,75.175,34.2,-11.946,37.010,59.803
24,5,4,0.503,83.642,30.972,39.8,1.885,65.954,22.792
25,5,15,12.693,87.379,8.526,26.3,12.218,73.310,7.229
26,5,16,9.386,86.174,19.881,25.2,10.130,71.607,15.491
27,5,17,-10.321,86.037,20.022,25.5,-10.909,71.700,15.351
28,5,18,-12.602,87.564,7.010,26.6,-12.818,73.312,5.649
29,6,1,10.415,0.590,97.958,27.9,12.310,-2.376,76.879
30,6,5,19.671,-28.486,101.358,39.7,14.858,-30.921,80.151
31,6,6,29.539,-18.993,96.811,28.4,25.546,-19.323,77.267
32,6,7,38.293,-8.702,90.549,40.9,31.084,-15.028,75.239
33,6,12,19.210,10.508,92.377,39.7,16.895,2.364,74.671
34,7,1,19.210,10.508,92.377,39.1,16.895,2.364,74.671
35,7,6,39.466,-8.668,89.879,39.2,32.130,-14.188,74.384
36,7,7,46.489,0.964,82.367,27.3,39.164,-4.751,65.340
37,7,8,52.668,10.049,73.551,39.1,41.944,7.176,61.422
38,7,12,27.785,20.724,85.241,27.1,23.234,13.115,69.726
39,7,13,35.597,27.938,77.896,39.1,25.944,20.504,64.674
40,8,7,54.099,8.521,72.904,38.1,42.735,6.064,60.616
41,8,8,58.482,16.946,63.814,26.3,47.358,13.870,54.121
42,8,10,62.345,25.351,52.747,37.1,51.272,18.579,45.495
43,8,12,34.600,28.685,78.072,37.0,25.449,21.003,64.771
44,8,13,41.752,36.566,68.494,25.9,35.970,27.039,55.682
45,8,14,47.017,42.857,58.589,38.0,38.755,33.311,47.952
46,9,8,62.345,25.351,52.747,37.0,51.272,18.579,45.495
47,9,9,65.544,39.305,30.891,34.3,53.892,33.084,27.902
48,9,10,64.935,32.249,41.407,25.1,53.628,26.254,35.997
49,9,13,45.456,44.576,58.596,34.1,37.036,34.938,47.655
50,9,14,49.405,50.446,48.341,24.0,39.851,40.850,39.903
51,9,32,51.722,55.842,37.284,36.0,42.704,47.458,29.109
52,10,9,65.416,45.086,20.262,23.5,53.648,38.705,17.267
53,10,10,65.544,39.305,30.891,35.5,53.892,33.084,27.902
54,10,11,63.972,50.892,11.180,30.4,52.369,44.855,7.578
